"","latitude","longitude","WordCount","English","Common","Tagalog","Bikol","Cebuano","Hiligaynon","Ilocano","Kapampangan","Pangasinense","Waray","Zam","Spanish"
"6918","""16.0064205""","""120.2266775""",13,2,3,3,0,0,0,0,0,0,0,0,0
"7269","""15.48438876""","""120.97496699""",3,0,0,3,0,0,0,0,0,0,0,0,0
"7749","""15.36126468""","""120.51611351""",12,2,5,3,0,0,0,0,0,0,0,0,0
"9116","""15.1341261""","""120.9781248""",9,4,2,3,0,0,0,0,0,0,0,0,0
"9815","""14.3737336""","""120.9765754""",15,4,8,3,0,0,0,0,0,0,0,0,0
"10139","""14.42140777""","""121.44598942""",4,0,0,3,0,0,0,0,0,0,0,0,0
"10593","""14.42140777""","""121.44598942""",4,0,0,3,0,0,0,0,0,0,0,0,0
"11759","""14.14376878""","""121.31332753""",15,2,7,3,0,0,0,0,0,0,1,0,1
"12552","""13.93306093""","""121.1555859""",14,6,3,3,0,0,0,0,0,0,0,0,1
"12769","""13.93306093""","""121.1555859""",14,6,3,3,0,0,0,0,0,0,0,0,1
"13119","""14.14376878""","""121.31332753""",15,2,7,3,0,0,0,0,0,0,1,0,1
"15391","""13.358433""","""123.7292035""",16,3,8,3,0,0,0,0,0,0,0,0,0
"15709","""13.358433""","""123.7292035""",16,3,8,3,0,0,0,0,0,0,0,0,0
"15991","""13.143255""","""123.727173""",21,3,11,3,0,0,0,1,0,0,1,0,0
"16619","""13.143255""","""123.727173""",21,3,11,3,0,0,0,1,0,0,1,0,0
"16720","""13.143255""","""123.727173""",21,3,11,3,0,0,0,1,0,0,1,0,0
"16969","""12.7486654""","""121.4893298""",12,1,4,3,0,0,0,0,0,0,1,0,0
"17019","""12.7486654""","""121.4893298""",12,1,4,3,0,0,0,0,0,0,1,0,0
"20253","""11.783581""","""124.891194""",14,1,6,3,0,0,0,0,0,0,0,0,2
"20502","""11.783581""","""124.891194""",14,1,6,3,0,0,0,0,0,0,0,0,2
"20707","""11.49677753""","""122.59951782""",11,2,5,3,0,0,0,0,0,0,0,0,0
"20761","""11.4074612""","""122.5104589""",13,1,6,3,0,0,0,0,0,0,0,0,1
"20910","""11.49677753""","""122.59951782""",11,2,5,3,0,0,0,0,0,0,0,0,0
"22445","""11.4074612""","""122.5104589""",13,1,6,3,0,0,0,0,0,0,0,0,1
"22747","""11.4074612""","""122.5104589""",13,1,6,3,0,0,0,0,0,0,0,0,1
"23063","""11.3408412""","""122.6691892""",12,4,2,3,0,0,0,0,0,0,0,0,2
"23124","""11.4092729""","""122.5080071""",10,1,6,3,0,0,0,0,0,0,0,0,0
"23322","""11.10486035""","""122.04413527""",9,0,4,3,0,0,0,0,0,0,0,0,0
"23361","""10.99858125""","""122.63538625""",19,4,10,3,0,0,0,0,0,0,0,0,2
"23860","""11.0522621""","""124.0105061""",19,3,4,3,1,0,0,0,0,0,0,0,3
"24050","""11.0522621""","""124.0105061""",19,3,4,3,1,0,0,0,0,0,0,0,3
"24396","""10.9875854""","""124.9725882""",10,2,3,3,0,0,0,0,0,0,0,0,0
"24510","""10.9875854""","""124.9725882""",10,2,3,3,0,0,0,0,0,0,0,0,0
"24595","""11.0411936""","""125.7168924""",11,1,2,3,0,0,0,0,0,0,0,0,1
"24597","""11.0411868""","""125.7169854""",7,0,3,3,0,0,1,0,0,0,0,0,0
"24798","""10.7654737""","""122.5342384""",11,1,2,6,0,0,0,0,0,0,1,0,0
"29431","""9.3282187""","""123.2971957""",10,1,5,3,0,0,0,0,0,0,0,0,0
"29960","""9.3454251""","""125.9672336""",19,3,5,3,0,1,0,0,1,0,2,0,0
"31351","""8.67472""","""117.593""",12,0,7,3,1,0,0,0,0,0,0,0,1
"31397","""8.67472""","""117.593""",12,0,7,3,1,0,0,0,0,0,0,0,1
"32776","""8.609372""","""124.89155868""",16,2,6,3,0,0,0,1,0,0,1,0,0
"32869","""8.609372""","""124.89155868""",16,2,6,3,0,0,0,1,0,0,1,0,0
"32955","""8.609372""","""124.89155868""",16,2,6,3,0,0,0,1,0,0,1,0,0
"33317","""8.3351677""","""124.2543502""",14,1,9,3,0,0,0,0,0,0,0,0,0
"37936","""7.489575""","""125.6056375""",12,1,5,3,0,0,0,0,0,0,0,0,2
"38592","""7.489575""","""125.6056375""",12,1,5,3,0,0,0,0,0,0,0,0,2
"390531","""7.3340325""","""124.5630622""",16,2,6,3,0,0,0,0,3,0,0,0,0
"39063","""7.3340325""","""124.5630622""",19,4,11,3,0,0,0,0,0,0,0,0,0
"42276","""7.0310701""","""125.4964846""",13,1,4,3,0,0,0,0,0,0,0,0,1
"42781","""6.93002645""","""122.09431167""",14,2,6,3,0,0,0,0,0,0,0,0,0
"43007","""6.93002645""","""122.09431167""",14,2,6,3,0,0,0,0,0,0,0,0,0
"44911","""6.6954316""","""121.9695224""",6,1,2,3,0,0,0,0,0,0,0,0,0
"45033","""6.6954316""","""121.9695224""",6,1,2,3,0,0,0,0,0,0,0,0,0
"45157","""6.6954316""","""121.9695224""",6,1,2,3,0,0,0,0,0,0,0,0,0
"45515","""6.2232354""","""125.0578258""",15,6,3,3,0,0,0,0,0,0,0,0,0
"45924","""6.2232354""","""125.0578258""",15,6,3,3,0,0,0,0,0,0,0,0,0
"46314","""6.2232354""","""125.0578258""",15,6,3,3,0,0,0,0,0,0,0,0,0
"47213","""6.1296699""","""125.1301926""",15,3,5,3,0,0,0,0,0,0,0,0,2
"47538","""6.1183491""","""125.1351154""",8,3,1,3,0,0,0,0,0,0,0,0,0
"48244","""6.1298356""","""125.1638275""",14,1,6,4,0,0,0,0,0,1,0,0,1
"49047","""18.5049842""","""120.5842496""",11,1,6,3,0,0,0,0,0,0,0,0,1
"49077","""18.5051059""","""120.5848255""",19,2,12,3,0,0,0,0,0,1,0,0,1
"49080","""18.5051059""","""120.5848255""",16,1,9,4,0,0,0,0,0,0,0,0,2
"51064","""18.0544798""","""121.6365218""",12,3,4,3,0,0,0,0,0,0,0,0,0
"51231","""17.7900055""","""120.4578741""",10,0,3,3,0,0,0,0,0,0,1,0,0
"52160","""17.5978094""","""120.6263901""",13,2,6,3,0,0,0,0,0,0,0,0,1
"52987","""17.12245825""","""121.61653149""",8,0,5,3,0,0,0,0,0,0,0,0,0
"53119","""17.12245825""","""121.61653149""",8,0,5,3,0,0,0,0,0,0,0,0,0
"53286","""17.12245825""","""121.61653149""",8,0,5,3,0,0,0,0,0,0,0,0,0
"53507","""17.13281903""","""121.87005944""",8,1,3,3,0,0,0,0,0,0,0,0,0
"53635","""17.13281471""","""121.8700169""",13,3,5,3,0,0,0,0,0,0,0,0,1
"53832","""17.13281903""","""121.87005944""",8,1,3,3,0,0,0,0,0,0,0,0,0
"53921","""17.13281471""","""121.8700169""",13,3,5,3,0,0,0,0,0,0,0,0,1
"55069","""16.4281491""","""120.6018437""",11,3,4,3,0,0,0,0,0,0,0,0,0
"55486","""16.605299""","""121.2505333""",11,0,2,3,0,0,0,0,0,0,1,0,0
"55639","""16.605299""","""121.2505333""",11,0,2,3,0,0,0,0,0,0,1,0,0
"56464","""16.1155118""","""119.8013208""",21,9,6,3,0,0,0,0,0,0,0,0,1
"56803","""16.1155118""","""119.8013208""",21,9,6,3,0,0,0,0,0,0,0,0,1
"57032","""16.1466336""","""119.9891299""",15,2,8,4,0,0,0,0,0,0,0,0,0
"57453","""16.1466336""","""119.9891299""",15,2,8,4,0,0,0,0,0,0,0,0,0
"58149","""15.8904289""","""120.3793856""",14,6,4,4,0,0,0,0,0,0,0,0,0
"58356","""15.8904289""","""120.3793856""",14,6,4,4,0,0,0,0,0,0,0,0,0
"58676","""15.97870217""","""120.56988319""",10,1,3,3,0,0,0,0,1,0,0,0,1
"58759","""15.8972286""","""120.67097488""",13,6,2,3,0,0,0,0,0,0,0,0,0
"58783","""15.9954526""","""120.6495099""",9,1,4,3,0,0,0,0,0,0,0,0,1
"58943","""15.8972286""","""120.67097488""",13,6,2,3,0,0,0,0,0,0,0,0,0
"58994","""15.9954526""","""120.6495099""",9,1,4,3,0,0,0,0,0,0,0,0,1
"59082","""15.8972286""","""120.67097488""",13,6,2,3,0,0,0,0,0,0,0,0,0
"59108","""15.9954526""","""120.6495099""",9,1,4,3,0,0,0,0,0,0,0,0,1
"59692","""15.5337192""","""119.958618""",16,2,8,3,0,0,0,1,0,0,0,0,1
"59750","""15.5337192""","""119.958618""",16,2,8,3,0,0,0,1,0,0,0,0,1
"59829","""15.51474523""","""120.56348372""",13,3,5,3,0,0,0,0,0,0,1,0,0
"60118","""15.51474523""","""120.56348372""",13,3,5,3,0,0,0,0,0,0,1,0,0
"60140","""15.44109547""","""120.59806456""",14,5,5,3,0,0,0,0,0,0,0,0,1
"60224","""15.4110901""","""120.6016317""",7,1,1,3,0,0,0,0,0,0,0,0,0
"60517","""15.52125814""","""120.62318866""",16,1,3,3,1,0,0,0,0,0,0,0,2
"62186","""15.36126468""","""120.51611351""",12,2,5,3,0,0,0,0,0,0,0,0,0
"63157","""14.8981819""","""120.8749305""",20,6,8,3,0,0,0,0,0,0,0,0,2
"63385","""14.79279279""","""121.07606715""",9,1,2,4,1,0,0,0,0,0,0,0,0
"63541","""14.79279279""","""121.07606715""",9,1,2,4,1,0,0,0,0,0,0,0,0
"64731","""14.78561555""","""120.81089127""",15,3,8,3,0,0,0,0,0,0,0,0,1
"64839","""14.7399496""","""121.0685512""",20,13,2,3,0,0,0,0,0,2,0,0,0
"64892","""14.6066313""","""121.0842419""",12,1,4,3,0,0,0,0,0,0,1,0,2
"65001","""14.7399496""","""121.0685512""",20,13,2,3,0,0,0,0,0,2,0,0,0
"65052","""14.6066313""","""121.0842419""",12,1,4,3,0,0,0,0,0,0,1,0,2
"65151","""14.79279279""","""121.07606715""",9,1,2,4,1,0,0,0,0,0,0,0,0
"65411","""14.8007464""","""121.019494""",9,0,5,3,0,0,0,0,0,0,0,0,0
"65423","""14.77876476""","""121.06450873""",17,2,10,3,0,0,0,0,0,0,0,0,2
"65658","""14.7739631""","""120.9395744""",17,1,9,3,0,1,0,0,0,0,0,0,1
"65660","""14.7778334""","""120.9504463""",16,2,8,3,0,0,0,0,0,0,0,0,0
"66164","""14.4547192""","""120.5753968""",19,1,11,3,0,0,0,0,1,0,0,0,2
"66271","""14.5973656""","""120.3927093""",12,1,6,3,0,0,0,0,0,0,0,0,0
"66352","""14.4003449""","""120.842773""",9,1,3,3,0,0,1,0,0,0,1,0,0
"66759","""14.3703103""","""121.3316534""",13,1,6,3,0,0,0,0,0,0,0,0,1
"67355","""14.3703103""","""121.3316534""",13,1,6,3,0,0,0,0,0,0,0,0,1
"67410","""14.246532""","""121.3973154""",15,2,4,3,0,0,0,0,0,0,0,0,3
"67445","""14.3686074""","""121.3310385""",18,3,8,3,0,0,0,1,0,0,1,0,0
"67668","""14.246532""","""121.3973154""",15,2,4,3,0,0,0,0,0,0,0,0,3
"67680","""14.3686074""","""121.3310385""",18,3,8,3,0,0,0,1,0,0,1,0,0
"67804","""14.1661178""","""121.3108587""",8,0,5,3,0,0,0,0,0,0,0,0,0
"68794","""14.1661729""","""121.2369751""",12,0,8,4,0,0,0,0,0,0,0,0,0
"69115","""14.07822035""","""121.31242105""",10,1,6,3,0,0,0,0,0,0,0,0,0
"69246","""14.07822035""","""121.31242105""",10,1,6,3,0,0,0,0,0,0,0,0,0
"69342","""13.9729542""","""121.6824625""",16,7,4,3,0,0,0,0,0,0,0,0,0
"69506","""13.9729542""","""121.6824625""",16,7,4,3,0,0,0,0,0,0,0,0,0
"70309","""13.92765907""","""121.42714941""",16,5,2,3,0,0,0,0,0,0,0,0,5
"71181","""13.66362369""","""121.37557103""",10,2,1,3,0,0,0,0,0,0,0,0,1
"71380","""13.6207195""","""123.2325573""",9,3,1,3,0,0,0,0,0,0,0,0,1
"71657","""13.6207195""","""123.2325573""",9,3,1,3,0,0,0,0,0,0,0,0,1
"71925","""13.6207195""","""123.2325573""",9,3,1,3,0,0,0,0,0,0,0,0,1
"72295","""13.5044794""","""120.9002584""",16,1,9,3,0,0,0,0,0,0,0,0,1
"72408","""13.5044794""","""120.9002584""",16,1,9,3,0,0,0,0,0,0,0,0,1
"72514","""13.3941769""","""121.8231903""",18,4,7,4,0,0,0,0,0,0,0,0,2
"72564","""13.3941769""","""121.8231903""",18,4,7,4,0,0,0,0,0,0,0,0,2
"73117","""13.27404892""","""121.23987648""",12,1,5,3,0,0,0,0,0,0,0,0,1
"73170","""13.27404892""","""121.23987648""",12,1,5,3,0,0,0,0,0,0,0,0,1
"73752","""13.1523375""","""123.7496349""",6,0,1,4,0,0,0,0,0,0,0,0,0
"74155","""13.04457892""","""121.47462229""",10,1,6,3,0,0,0,0,0,0,0,0,0
"74310","""13.04457892""","""121.47462229""",10,1,6,3,0,0,0,0,0,0,0,0,0
"74662","""12.7486654""","""121.4893298""",12,1,4,3,0,0,0,0,0,0,1,0,0
"74714","""12.6654297""","""123.9252435""",18,2,9,3,0,0,1,0,0,0,0,0,1
"74718","""12.6654296""","""123.9252433""",12,2,5,3,0,0,0,0,1,0,0,0,0
"74748","""12.6654297""","""123.9252435""",18,2,9,3,0,0,1,0,0,0,0,0,1
"74753","""12.6654296""","""123.9252433""",12,2,5,3,0,0,0,0,1,0,0,0,0
"74777","""12.6654297""","""123.9252435""",18,2,9,3,0,0,1,0,0,0,0,0,1
"74782","""12.6654296""","""123.9252433""",12,2,5,3,0,0,0,0,1,0,0,0,0
"74849","""12.6654297""","""123.9252435""",18,2,9,3,0,0,1,0,0,0,0,0,1
"74853","""12.6654296""","""123.9252433""",12,2,5,3,0,0,0,0,1,0,0,0,0
"74881","""12.6654297""","""123.9252435""",18,2,9,3,0,0,1,0,0,0,0,0,1
"74886","""12.6654296""","""123.9252433""",12,2,5,3,0,0,0,0,1,0,0,0,0
"74912","""12.6654297""","""123.9252435""",18,2,9,3,0,0,1,0,0,0,0,0,1
"74917","""12.6654296""","""123.9252433""",12,2,5,3,0,0,0,0,1,0,0,0,0
"74939","""12.6654297""","""123.9252435""",18,2,9,3,0,0,1,0,0,0,0,0,1
"74944","""12.6654296""","""123.9252433""",12,2,5,3,0,0,0,0,1,0,0,0,0
"79417","""11.4074612""","""122.5104589""",13,1,6,3,0,0,0,0,0,0,0,0,1
"79673","""11.4074612""","""122.5104589""",13,1,6,3,0,0,0,0,0,0,0,0,1
"79984","""11.3408412""","""122.6691892""",12,4,2,3,0,0,0,0,0,0,0,0,2
"80045","""11.4092729""","""122.5080071""",10,1,6,3,0,0,0,0,0,0,0,0,0
"80762","""11.10486035""","""122.04413527""",9,0,4,3,0,0,0,0,0,0,0,0,0
"81127","""11.0522621""","""124.0105061""",19,3,4,3,1,0,0,0,0,0,0,0,3
"81315","""11.0522621""","""124.0105061""",19,3,4,3,1,0,0,0,0,0,0,0,3
"81798","""11.0411936""","""125.7168924""",11,1,2,3,0,0,0,0,0,0,0,0,1
"81800","""11.0411868""","""125.7169854""",7,0,3,3,0,0,1,0,0,0,0,0,0
"82817","""10.9875854""","""124.9725882""",10,2,3,3,0,0,0,0,0,0,0,0,0
"82865","""11.0411936""","""125.7168924""",11,1,2,3,0,0,0,0,0,0,0,0,1
"82867","""11.0411868""","""125.7169854""",7,0,3,3,0,0,1,0,0,0,0,0,0
"83241","""10.6788944""","""122.9621385""",19,1,11,5,0,0,0,0,0,0,0,0,1
"83454","""10.6788944""","""122.9621385""",19,1,11,5,0,0,0,0,0,0,0,0,1
"83658","""10.6788944""","""122.9621385""",19,1,11,5,0,0,0,0,0,0,0,0,1
"89253","""9.6446531""","""124.3621701""",16,2,7,3,0,1,0,1,0,0,0,0,1
"89340","""9.6446531""","""124.3621701""",16,2,7,3,0,1,0,1,0,0,0,0,1
"89788","""9.3282187""","""123.2971957""",10,1,5,3,0,0,0,0,0,0,0,0,0
"91135","""8.67472""","""117.593""",12,0,7,3,1,0,0,0,0,0,0,0,1
"91174","""8.67472""","""117.593""",12,0,7,3,1,0,0,0,0,0,0,0,1
"93747","""8.3351677""","""124.2543502""",14,1,9,3,0,0,0,0,0,0,0,0,0
"97723","""7.489575""","""125.6056375""",12,1,5,3,0,0,0,0,0,0,0,0,2
"98394","""7.218938""","""124.2376714""",15,3,6,4,0,0,0,0,0,0,0,0,1
"98747","""7.218938""","""124.2376714""",15,3,6,4,0,0,0,0,0,0,0,0,1
"988841","""7.3340325""","""124.5630622""",16,2,6,3,0,0,0,0,3,0,0,0,0
"100967","""7.218938""","""124.2376714""",15,3,6,4,0,0,0,0,0,0,0,0,1
"101920","""6.9300858""","""122.09464658""",7,3,1,3,0,0,0,0,0,0,0,0,0
"101986","""6.918297""","""122.0802108""",11,2,5,3,0,0,0,0,0,0,0,0,0
"102161","""6.9300858""","""122.09464658""",7,3,1,3,0,0,0,0,0,0,0,0,0
"102227","""6.918297""","""122.0802108""",11,2,5,3,0,0,0,0,0,0,0,0,0
"103901","""6.7051742""","""121.9695329""",16,3,9,3,0,0,0,0,0,0,0,0,0
"104066","""6.7051742""","""121.9695329""",16,3,9,3,0,0,0,0,0,0,0,0,0
"104231","""6.7051742""","""121.9695329""",16,3,9,3,0,0,0,0,0,0,0,0,0
"104397","""6.7051742""","""121.9695329""",16,3,9,3,0,0,0,0,0,0,0,0,0
"105672","""6.4951947""","""124.8412194""",16,5,5,3,0,0,1,0,0,0,1,0,0
"105795","""6.3192263""","""124.9630533""",13,3,4,3,0,0,0,0,0,0,0,0,0
"106020","""6.2232354""","""125.0578258""",15,6,3,3,0,0,0,0,0,0,0,0,0
"106170","""6.2232338""","""125.0578258""",7,3,1,3,0,0,0,0,0,0,0,0,0
"106233","""6.223234""","""125.0578255""",8,3,2,3,0,0,0,0,0,0,0,0,0
"106320","""6.3192263""","""124.9630533""",13,3,4,3,0,0,0,0,0,0,0,0,0
"106525","""6.3192263""","""124.9630533""",13,3,4,3,0,0,0,0,0,0,0,0,0
"107539","""6.1296699""","""125.1301926""",15,3,5,3,0,0,0,0,0,0,0,0,2
"108891","""18.5636117""","""121.2318118""",14,2,3,5,0,0,0,0,0,0,0,0,1
"108913","""18.5616384""","""121.2365197""",15,1,8,3,0,0,0,0,0,0,0,0,1
"108939","""18.5636117""","""121.2318118""",14,2,3,5,0,0,0,0,0,0,0,0,1
"108955","""18.5616384""","""121.2365197""",15,1,8,3,0,0,0,0,0,0,0,0,1
"109044","""18.5049842""","""120.5842496""",11,1,6,3,0,0,0,0,0,0,0,0,1
"109150","""18.5636117""","""121.2318118""",14,2,3,5,0,0,0,0,0,0,0,0,1
"109489","""18.22825676""","""120.64801869""",15,1,10,3,0,0,0,0,0,1,0,0,0
"109761","""18.22825676""","""120.64801869""",15,1,10,3,0,0,0,0,0,1,0,0,0
"110020","""18.22825676""","""120.64801869""",15,1,10,3,0,0,0,0,0,1,0,0,0
"110180","""18.22825676""","""120.64801869""",15,1,10,3,0,0,0,0,0,1,0,0,0
"110437","""18.06019744""","""120.5556724""",15,2,7,3,0,0,0,0,0,0,0,0,1
"110578","""18.0544798""","""121.6365218""",12,3,4,3,0,0,0,0,0,0,0,0,0
"112271","""17.4401421""","""120.4686909""",13,1,8,3,0,0,0,0,1,0,0,0,0
"113049","""17.10151921""","""121.85695498""",13,2,4,3,0,0,0,0,0,0,0,0,1
"113431","""17.10151921""","""121.85695498""",13,2,4,3,0,0,0,0,0,0,0,0,1
"113607","""17.10151921""","""121.85695498""",13,2,4,3,0,0,0,0,0,0,0,0,1
"113739","""16.9467367""","""121.7599043""",12,0,6,3,0,0,0,0,0,0,0,0,2
"114152","""16.780389""","""121.6953717""",6,0,2,3,0,0,0,0,0,0,0,0,1
"115444","""16.1563458""","""119.9820155""",12,2,4,3,0,0,0,0,0,0,0,0,1
"115877","""16.1563458""","""119.9820155""",12,2,4,3,0,0,0,0,0,0,0,0,1
"117419","""15.9742269""","""120.5708277""",13,2,5,3,0,0,0,0,0,0,0,0,1
"117425","""15.8732312""","""120.5755703""",14,4,7,3,0,0,0,0,0,0,0,0,0
"118291","""15.7255586""","""120.9197773""",9,0,4,3,0,0,0,0,0,0,0,0,0
"118308","""15.7255586""","""120.9197773""",7,0,2,3,0,0,0,0,0,0,0,0,0
"118606","""15.8732312""","""120.5755703""",14,4,7,3,0,0,0,0,0,0,0,0,0
"118828","""15.7365261""","""120.9314245""",7,1,1,3,0,0,0,0,0,0,0,0,0
"119012","""15.78814262""","""120.97754406""",19,3,4,4,0,0,0,0,0,0,1,0,4
"119115","""15.7255586""","""120.9197773""",9,0,4,3,0,0,0,0,0,0,0,0,0
"119132","""15.7255586""","""120.9197773""",7,0,2,3,0,0,0,0,0,0,0,0,0
"119410","""15.78814262""","""120.97754406""",19,3,4,4,0,0,0,0,0,0,1,0,4
"119507","""15.7255586""","""120.9197773""",9,0,4,3,0,0,0,0,0,0,0,0,0
"119524","""15.7255586""","""120.9197773""",7,0,2,3,0,0,0,0,0,0,0,0,0
"120770","""15.44109561""","""120.59806835""",13,5,3,3,0,0,0,0,0,0,0,0,0
"120809","""15.44112689""","""120.598109""",14,3,3,3,0,0,0,0,0,0,2,0,1
"121124","""15.45808583""","""120.94907856""",10,3,2,3,0,0,0,0,0,0,0,0,1
"121217","""15.3350917""","""119.9727039""",18,5,2,4,0,0,0,0,0,1,0,0,2
"121305","""15.3263036""","""119.9665363""",12,2,4,3,0,0,0,0,0,0,1,0,0
"121487","""15.3350917""","""119.9727039""",18,5,2,4,0,0,0,0,0,1,0,0,2
"121770","""15.44109561""","""120.59806835""",13,5,3,3,0,0,0,0,0,0,0,0,0
"121808","""15.44112689""","""120.598109""",14,3,3,3,0,0,0,0,0,0,2,0,1
"122220","""15.1443757""","""120.5965793""",14,2,7,3,0,0,1,0,0,0,0,0,0
"122422","""15.1443757""","""120.5965793""",14,2,7,3,0,0,1,0,0,0,0,0,0
"122622","""15.1443757""","""120.5965793""",14,2,7,3,0,0,1,0,0,0,0,0,0
"122681","""15.13154926""","""120.59474084""",4,1,0,3,0,0,0,0,0,0,0,0,0
"122870","""15.0086692""","""120.5932049""",12,2,2,3,0,0,0,0,0,1,1,0,0
"122990","""15.2194299""","""120.9867666""",10,2,2,3,0,0,0,0,0,0,0,0,1
"123211","""14.9242613""","""120.2193204""",18,5,7,3,0,0,0,0,1,0,0,0,1
"123568","""14.7635976""","""121.0774848""",15,4,3,7,0,0,0,0,0,0,0,0,0
"123570","""14.7635976""","""121.0774848""",17,2,7,3,0,1,0,0,0,0,1,0,2
"123612","""14.7589892""","""121.1611584""",5,0,1,3,0,0,0,0,0,0,1,0,0
"123997","""14.7663268""","""120.9543166""",11,3,3,3,0,0,0,0,0,0,1,0,0
"124011","""14.77549616""","""121.06482941""",17,3,10,4,0,0,0,0,0,0,0,0,0
"124078","""14.77544687""","""121.06470368""",13,0,9,4,0,0,0,0,0,0,0,0,0
"124106","""14.77035577""","""121.08143136""",18,5,6,4,0,0,0,0,0,0,0,0,2
"124128","""14.7681245""","""120.9837424""",15,1,6,4,0,0,0,0,1,1,0,0,0
"124710","""14.44029085""","""120.46219487""",9,0,5,3,0,0,0,0,0,0,0,0,0
"125001","""14.44029085""","""120.46219487""",9,0,5,3,0,0,0,0,0,0,0,0,0
"125662","""14.3570966""","""120.9453126""",4,0,1,3,0,0,0,0,0,0,0,0,0
"125775","""14.3512911""","""121.0499188""",12,1,2,3,1,0,0,1,0,0,1,0,1
"126031","""14.3667038""","""120.9283101""",5,0,2,3,0,0,0,0,0,0,0,0,0
"126764","""14.3626717""","""121.483164""",3,0,0,3,0,0,0,0,0,0,0,0,0
"126775","""14.27236366""","""121.42079926""",10,0,3,3,0,0,0,0,0,1,0,0,0
"126948","""14.3626717""","""121.483164""",3,0,0,3,0,0,0,0,0,0,0,0,0
"127175","""14.1447664""","""120.9004806""",19,3,8,3,0,0,0,0,0,0,0,0,1
"127191","""14.1575459""","""120.8467631""",13,0,3,3,0,0,0,0,0,1,0,0,0
"127235","""14.1291365""","""120.844871""",12,0,6,3,0,0,0,0,0,0,0,0,2
"127397","""14.1447664""","""120.9004806""",19,3,8,3,0,0,0,0,0,0,0,0,1
"127416","""14.1575459""","""120.8467631""",13,0,3,3,0,0,0,0,0,1,0,0,0
"127467","""14.1291365""","""120.844871""",12,0,6,3,0,0,0,0,0,0,0,0,2
"128270","""13.9705016""","""121.67932""",17,4,5,4,0,0,0,0,0,0,0,0,0
"128483","""13.9705016""","""121.67932""",17,4,5,4,0,0,0,0,0,0,0,0,0
"130419","""13.7476888""","""120.9007836""",11,3,3,3,0,0,0,0,0,0,0,0,1
"130813","""13.6207093""","""123.18962""",11,3,4,3,0,0,0,0,0,0,0,0,0
"131102","""13.6207093""","""123.18962""",11,3,4,3,0,0,0,0,0,0,0,0,0
"131391","""13.6207093""","""123.18962""",11,3,4,3,0,0,0,0,0,0,0,0,0
"131701","""13.5044794""","""120.9002584""",16,1,9,3,0,0,0,0,0,0,0,0,1
"131866","""13.410498""","""121.1756323""",11,0,5,4,0,0,0,0,0,0,0,0,1
"132145","""13.4056637""","""121.1713051""",17,4,5,4,0,0,0,0,0,0,1,0,0
"132455","""13.3583015""","""123.3648801""",8,0,5,3,0,0,0,0,0,0,0,0,0
"132675","""13.3583015""","""123.3648801""",8,0,5,3,0,0,0,0,0,0,0,0,0
"134960","""11.95264451""","""121.93316155""",17,1,6,3,0,0,0,0,0,0,1,0,2
"135324","""11.95264451""","""121.93316155""",17,1,6,3,0,0,0,0,0,0,1,0,2
"135694","""11.95264451""","""121.93316155""",17,1,6,3,0,0,0,0,0,0,1,0,2
"136146","""11.95264451""","""121.93316155""",17,1,6,3,0,0,0,0,0,0,1,0,2
"136249","""11.8105779""","""122.1782763""",5,0,1,3,0,0,0,0,0,0,0,0,0
"137930","""11.8105779""","""122.1782763""",5,0,1,3,0,0,0,0,0,0,0,0,0
"138011","""11.70299488""","""122.36838212""",18,4,10,3,0,0,0,0,0,0,0,0,1
"138273","""11.5967637""","""122.749361""",4,1,0,3,0,0,0,0,0,0,0,0,0
"139313","""11.1997621""","""124.7821353""",13,1,8,3,0,0,0,0,0,0,0,0,0
"139426","""11.1997621""","""124.7821353""",13,1,8,3,0,0,0,0,0,0,0,0,0
"139518","""11.1997621""","""124.7821353""",13,1,8,3,0,0,0,0,0,0,0,0,0
"139527","""11.1808509""","""124.9973513""",10,2,3,3,0,0,0,0,0,0,0,0,0
"139629","""11.1808509""","""124.9973513""",10,2,3,3,0,0,0,0,0,0,0,0,0
"139920","""11.10486035""","""122.04413527""",9,0,4,3,0,0,0,0,0,0,0,0,0
"139943","""11.00705""","""122.62535""",16,1,11,4,0,0,0,0,0,0,0,0,0
"139947","""11.00705""","""122.62535""",15,2,9,4,0,0,0,0,0,0,0,0,0
"140532","""11.1997621""","""124.7821353""",13,1,8,3,0,0,0,0,0,0,0,0,0
"140591","""11.1997621""","""124.7821353""",13,1,8,3,0,0,0,0,0,0,0,0,0
"140674","""11.1808509""","""124.9973513""",10,2,3,3,0,0,0,0,0,0,0,0,0
"140780","""11.1808509""","""124.9973513""",10,2,3,3,0,0,0,0,0,0,0,0,0
"140865","""11.1808509""","""124.9973513""",10,2,3,3,0,0,0,0,0,0,0,0,0
"140912","""11.0411936""","""125.7168924""",11,1,2,3,0,0,0,0,0,0,0,0,1
"140914","""11.0411868""","""125.7169854""",7,0,3,3,0,0,1,0,0,0,0,0,0
"141069","""11.00705""","""122.62535""",16,1,11,4,0,0,0,0,0,0,0,0,0
"141073","""11.00705""","""122.62535""",15,2,9,4,0,0,0,0,0,0,0,0,0
"141375","""11.00705""","""122.62535""",16,1,11,4,0,0,0,0,0,0,0,0,0
"141380","""11.00705""","""122.62535""",15,2,9,4,0,0,0,0,0,0,0,0,0
"141488","""11.00705""","""122.62535""",16,1,11,4,0,0,0,0,0,0,0,0,0
