"latitude","longitude","TagalogWordCount"
"""20.4485971""","""121.9710838""",3
"""20.4485971""","""121.9710838""",6
"""20.45164941""","""121.9671742""",3
"""20.4527999""","""121.9680657""",3
"""20.44452605""","""121.96661425""",5
"""20.44452605""","""121.96661425""",11
"""20.44802845""","""121.96982014""",3
"""20.4485971""","""121.9710838""",3
"""20.4485971""","""121.9710838""",6
"""20.45164941""","""121.9671742""",3
"""20.4527999""","""121.9680657""",3
"""20.4485971""","""121.9710838""",3
"""20.4485971""","""121.9710838""",6
"""20.45164941""","""121.9671742""",3
"""20.4527999""","""121.9680657""",3
"""18.58513515""","""120.78590308""",4
"""18.56557214""","""120.80892748""",3
"""18.58150784""","""120.78350683""",4
"""18.56553031""","""120.80891796""",3
"""18.56559347""","""120.80888322""",4
"""18.58150784""","""120.78350683""",3
"""18.57946805""","""120.78665401""",3
"""18.53705564""","""120.65010339""",4
"""18.52793756""","""120.70351725""",3
"""18.56012806""","""120.78828668""",3
"""18.53705564""","""120.65010339""",3
"""18.53705564""","""120.65010339""",3
"""18.5355587""","""120.7946762""",3
"""18.58759908""","""120.78707249""",3
"""18.58166863""","""120.7844746""",3
"""18.601225""","""120.85413395""",3
"""18.57055198""","""120.81245659""",3
"""18.58150784""","""120.78350683""",3
"""18.55967321""","""120.78673871""",4
"""18.53705564""","""120.65010339""",3
"""18.53705564""","""120.65010339""",3
"""18.58216777""","""120.78481268""",3
"""18.59503""","""120.85485""",3
"""18.53705564""","""120.65010339""",3
"""18.62484664""","""120.85822628""",4
"""18.5653195""","""120.79073""",3
"""18.53705564""","""120.65010339""",4
"""18.5625441""","""120.7830144""",6
"""18.58513515""","""120.78590308""",4
"""18.5826034""","""121.2227636""",3
"""18.56557214""","""120.80892748""",3
"""18.58150784""","""120.78350683""",4
"""18.56553031""","""120.80891796""",3
"""18.56559347""","""120.80888322""",4
"""18.58150784""","""120.78350683""",3
"""18.57946805""","""120.78665401""",3
"""18.58513515""","""120.78590308""",4
"""18.55115739""","""121.24595429""",3
"""18.5826034""","""121.2227636""",3
"""18.56557214""","""120.80892748""",3
"""18.58150784""","""120.78350683""",4
"""18.56553031""","""120.80891796""",3
"""18.56559347""","""120.80888322""",4
"""18.58150784""","""120.78350683""",3
"""18.57946805""","""120.78665401""",3
"""18.54373131""","""121.25995142""",6
"""18.55115739""","""121.24595429""",3
"""18.5826034""","""121.2227636""",3
"""18.54373131""","""121.25995142""",6
"""18.5982071""","""121.05555383""",7
"""18.5641125""","""121.2322644""",5
"""18.57986389""","""122.13768889""",3
"""18.5051615""","""120.5848604""",14
"""18.5051615""","""120.5848604""",4
"""18.5051615""","""120.5848603""",6
"""18.5051615""","""120.5848604""",6
"""18.5051615""","""120.5848604""",3
"""18.5051059""","""120.5848255""",3
"""18.5051059""","""120.5848255""",4
"""18.5051059""","""120.5848255""",4
"""18.5051059""","""120.5848255""",7
"""18.5051059""","""120.5848255""",3
